           y            x  z
 1.308148130  0.310904378  2
-0.295214438 -0.306938910  3
-0.170642783 -0.991435788  4
 0.767215338  1.159096969  5
-0.953263369  1.655144040  6
 0.216297732  1.203081822  7
-1.307724326 -0.415047944  8
 1.399819185  1.292175959  9
-1.621806740 -0.367568811 10
-0.865063131  0.039936812 11
 2.239894487  1.799692827 12
-0.751480807 -0.467638968 13
 0.334487605  1.010897787 14
-0.709968969 -0.493093470 15
-0.129806116 -0.182716596 16
-0.690023344 -0.179114615 17
 0.280292671 -0.263236962 18
 0.200564816  0.142391396 19
-1.400234185  0.720705111 20
-0.321145615 -0.319251145  1
-0.011275135  0.534207529  2
-0.071800037  0.675635145  3
 0.509668210 -1.052914022  4
 0.046003798 -0.755109132  5
 0.168996760  0.663987379  6
-1.026284017 -0.260735878  7
 0.072434311 -0.880993300  8
-0.659617782 -1.166443224  9
 1.897804552 -1.567727944 10
-2.875564006 -1.349756674 11
-3.277376864  0.644004787 12
-1.588471881  0.656743686 13
-0.498481469  0.095083697 14
 0.180533056  0.076189328 15
 0.534199337 -0.974113603 16
 1.301758394  0.181516698 17
-0.552571146 -0.900353695 18
 0.107116624 -0.307205232 19
-0.534343232  0.954295219 20
-0.162089778  1.013273153  1
 0.096783017 -0.887344813  2
 1.687224242  0.500330622  3
 0.802149420 -0.204362229  4
-0.735388479 -0.123623103  5
-0.333353454 -0.241431630  6
-0.117450637 -0.480144273  7
-1.436265994 -2.679887445  8
-0.475493569 -0.558818503  9
 0.205716810  0.541498722 10
 0.043140092 -0.827119748 11
 0.639587254  0.995480552 12
-0.690944882  0.047417402 13
-0.606947857 -0.586864873 14
 1.377754940  1.086727378 15
 0.242297453 -0.721760513 16
-0.802554531  0.054691369 17
 0.669771293  1.608584332 18
-0.985641611 -1.795864735 19
-1.512093245  0.017829571 20
 0.720400828 -0.665782539  1
-0.203033434  0.309044519  2
-2.032644684 -0.902757090  3
-0.473543696  0.319646578  4
 1.320576638  0.551285511  5
 0.114127821  0.436466355  6
-0.083775580  1.090627743  7
 1.377658290 -1.357849698  8
 1.011345851 -0.296536316  9
-1.052328535 -1.044167929 10
 0.481243805  0.772489035 11
 0.246565079 -0.319765023 12
 0.639575227  1.309895068 13
-2.118857890  0.930419099 14
-0.775926894  0.919111922 15
 0.636455441  0.141783367 16
-0.544212439  0.497422252 17
 2.026319229  1.079857129 18
-1.043896904 -1.341805578 19
 0.826227638 -0.329261358 20
-1.549929287  1.747759773  1
-0.918010264 -0.484714333  2
-1.068312222 -1.741148155  3
 1.518252969 -0.046012263  4
 0.518319373 -0.196745495  5
 1.281225258 -1.733961897  6
 0.001765238  1.054432543  7
 1.042055697 -1.684484563  8
 1.763362174  0.289935485  9
-0.809723660 -0.224720434 10
-0.442327333  1.294315963 11
-0.146752889 -0.560472610 12
 0.074815799 -0.266357223 13
 0.654032525  0.386138839 14
-0.313185002 -0.697102922 15
-0.018249938 -0.740095382 16
-0.666148104 -0.527587150 17
 1.199069416 -0.553295434 18
-0.298490269  0.215957296 19
-1.389370053 -0.609316195 20
-0.001584964  1.214406440  1
 0.890011329  0.182993094  2
 2.164728433  0.206228382  3
-0.138019993 -0.095604511  4
-0.349842359  1.108558278  5
 0.313902961 -0.476418840  6
-0.757278820  0.427863605  7
-0.978516445 -1.053108900  8
-0.674272175  0.433900763  9
-2.044812800 -0.681609451 10
 1.252517241  0.748131259 11
-0.179613290  0.505082376 12
 0.623963282  0.142364312 13
-0.140435661  2.509599570 14
 1.163003330  0.690492230 15
-0.362487591 -0.304366497 16
 2.146988214 -0.230423172 17
-0.499507941  0.194972585 18
 0.257013409  2.589223105 19
-0.374267405  0.778311265 20
 0.212879068  1.366596694  1
 0.491913539  0.268917863  2
 1.499594591  0.178534211  3
 1.005884873 -0.436339490  4
 1.517077178  0.159708795  5
-0.129936177  0.445806158  6
 1.202796897  0.821237124  7
-0.460196480  0.121425633  8
-1.435498004  0.215756550  9
-0.334568361 -1.279043780 10
 0.212990891  0.371202134 11
-0.118567016 -0.048297014 12
 0.191399006  0.020191227 13
-1.416828933 -0.311540119 14
-1.051524724 -0.528393208 15
-0.534267234 -0.595496339 16
-0.359664339 -0.054509388 17
-0.457075665 -0.554083482 18
-0.724833993 -0.445256429 19
 0.537653933  1.312514918 20
 1.073554806  1.546656017  1
 0.336623275 -0.711608899  2
 0.009645437 -0.480635163  3
-0.663837354  0.735797444  4
-0.746959263 -0.125977838  5
-1.114249138  2.610176119  6
-0.067883691 -0.395846502  7
-1.187966615  0.279624521  8
-1.908137144  0.664738822  9
-0.002291005  0.363134155 10
 0.475282654  1.516760477 11
 0.896063237 -0.615911325 12
-0.475640404 -1.324870636 13
-0.115715055  1.858869994 14
-0.017863007  0.947858930 15
-0.047879519  0.682144613 16
-1.813970839  1.352302148 17
 0.985977648 -0.271231412 18
 0.814452234 -0.077713649 19
-0.396593562 -1.333934070 20
 0.867046363  1.738495625  1
-1.055063146  0.627825432  2
 0.385380332  0.053356331  3
-0.689888128 -0.243835986  4
-0.628052774 -1.323270742  5
-0.233891945 -1.404674454  6
-0.050430389  1.258812390  7
 1.091874076 -1.124955912  8
-1.507606141  0.452540835  9
 0.377425403  2.249625246 10
-0.604034679 -1.443050554 11
-0.670057189 -1.386029335 12
-0.799193592  3.189872025 13
-0.901682190 -1.717736950 14
 0.586945520 -0.427468819 15
-1.128207479  0.850039230 16
 2.195409641 -1.102283054 17
 0.028115697 -0.017800941 18
 0.835475880 -1.206527935 19
-0.108413651  0.412333999 20
 0.542420033 -0.438567884  1
 0.417426420 -0.780767951  2
-0.965973772 -1.871857559  3
-2.038080887  0.695837405  4
 1.249775378 -1.488179496  5
-0.110705452 -1.349862802  6
 0.687518269 -0.574413528  7
-0.019819040 -0.321404432  8
-1.144585714 -1.634355574  9
 0.203827779  1.292381581 10
-1.033547637 -1.453820518 11
-1.430532492 -0.886584486 12
-0.348070947  2.233313878 13
-0.652330038 -0.567215962 14
-0.325607303 -0.451769313 15
 0.696130352  2.249872538 16
 0.442211933  0.753234151 17
-0.006261105 -1.034658657 18
-0.404870190 -2.127945251 19
-1.171013388  1.309435147 20
 1.375644223  0.226257974  1
-0.411583077  0.132978677  2
 0.539209334 -1.361645943  3
-1.356009143  0.213209153  4
-0.097437412  0.109997890  5
-2.585420180  0.988102521  6
 1.819079092  0.330659265  7
 0.036669817 -0.545225232  8
 0.041756423 -1.284470663  9
-0.102214210 -0.473389686 10
 0.029279830 -0.924336927 11
 1.226514563 -0.578487500 12
-1.170057777  0.763111098 13
-0.419185364 -0.664631555 14
 0.457849349  0.951546134 15
-1.764883603 -0.927655497 16
 0.504582483  1.087261481 17
-0.172666280 -0.245711088 18
 2.192241989 -0.500930512 19
 0.949555294  0.195500190 20
-0.351901477  0.185412467  1
-0.600418381 -0.443744954  2
 0.919087050 -0.536283168  3
-0.110225334  0.772501071  4
-0.818020861 -0.830609811  5
 1.005816421 -0.435321599  6
-0.809295019  0.220554754  7
 1.081271350 -0.221557673  8
 1.230547912 -0.023395655  9
-0.084547242 -1.110863017 10
-0.078449200 -0.957806071 11
-0.511005254 -0.070657021 12
 0.161035734 -1.291816336 13
-0.401635294 -0.914250339 14
 0.977849598  0.352577810 15
-0.760738773  1.297267558 16
-1.250417689 -0.044738181 17
-0.512461216 -0.001981579 18
 0.738905734  1.231350454 19
-0.320857336  0.307153013 20
-1.853096832  2.158119661  1
 0.005062067 -0.717232785  2
-2.070229690 -0.724371072  3
 1.102719542 -0.492254910  4
-0.754270747 -2.407268437  5
-1.360412206 -1.034554207  6
 1.767028386 -2.559835453  7
-0.595137968 -0.072824848  8
 0.304130462  0.220581601  9
-0.466257371 -0.027464715 10
-1.061106591 -0.283531578 11
 0.732585074 -0.993995040 12
 0.751578216 -1.463382052 13
 0.088788966 -2.308824347 14
-0.304684991 -0.655124914 15
-0.651324433 -0.495294638 16
 0.473841070  1.877075225 17
 2.455133984  1.640879168 18
-1.829622839  1.391467422 19
-2.420005456  0.203052328 20
-1.048866348  0.470084551  1
 0.462076311 -0.475798671  2
 1.108303856  0.556307549  3
-0.499764914 -1.097231818  4
-2.303506131  0.729589464  5
-0.638524721  1.959076605  6
-1.481325277  0.180045069  7
 0.812013320  0.429607000  8
-0.552431193  0.954726602  9
 0.918414645  1.196823568 10
-0.029392847  1.250050984 11
-1.575597655  0.083046784 12
 0.433756574  0.697553695 13
 0.579209535 -0.656725472 14
 1.053917037  0.213207088 15
 1.779327117  1.099997333 16
 0.608085529  2.834814202 17
-0.771281286  0.745893859 18
-0.157037998 -1.877589934 19
 0.291316840 -1.338959132 20
 0.788319287  0.083626228  1
-1.331025507 -0.061212307  2
-0.706329346 -1.557320088  3
-1.058998226  1.541569056  4
-0.721499893  0.646804655  5
-0.971456617 -0.962488446  6
 1.984263001 -0.815042599  7
-0.714115014  0.421364797  8
-0.039145447  0.916083553  9
-1.199746965  0.571347074 10
-0.038721525  0.210557569 11
-0.629155271  1.058044516 12
-0.511108248 -0.349476277 13
 0.678155565 -0.059061082 14
-0.262341855 -1.066118535 15
 0.287264038 -0.718358614 16
-0.844386285 -1.389551406 17
 0.131595342  0.414874782 18
 0.448126159 -1.248119991 19
 1.605414723 -0.392543827 20
 0.090676076  0.153263793  1
 0.120727251 -0.100068174  2
-0.149167042 -0.418242979  3
 0.051811527  0.321167678  4
 1.121689763 -0.652085599  5
 0.206419032 -0.716988786  6
 0.251327034  0.553909610  7
 0.743994077 -0.067980404  8
-0.963111873 -0.672172096  9
-0.281235770  0.768219217 10
 1.461970297 -0.567477416 11
 0.510718741 -0.449216499 12
-0.348574205 -0.815639978 13
 1.679030006  0.577478655 14
 0.971027354 -0.762270758 15
 1.211655814  0.697608334 16
 0.064801338  2.104651060 17
-0.833744080  0.616691475 18
-0.344032736 -0.814977118 19
-0.873000994 -0.328330149 20
 0.806651893 -1.853815726  1
 1.091336327 -0.806295885  2
-0.368601942  1.029956046  3
-0.470058414 -0.528257100  4
-0.828488858  0.230859096  5
-0.358118583  0.987339461  6
-0.750689459 -0.359674870  7
 1.150698039  1.524958701  8
 0.026151904  0.655113110  9
-0.911376823 -1.114565117 10
 0.235555299  0.523168915 11
-0.451067314 -0.400363229 12
 0.173219399  0.263939755 13
 0.026645057  0.364140449 14
 0.690040395  1.639779511 15
-2.228370467 -0.336280210 16
-0.836081219  1.164542037 17
-0.702187137 -0.665847458 18
 0.679401436  1.242497181 19
 1.462430461 -1.173747247 20
-0.264942879 -2.276173721  1
-0.788702749 -1.105130780  2
 0.209745843  1.575475507  3
-0.628053108  0.314407207  4
-1.426706089 -0.211280707  5
-0.833739126 -0.968122508  6
-0.044185754 -0.852984321  7
-1.359056339 -1.540119905  8
 0.523496616  0.016846458  9
 0.301021195 -0.134289679 10
-1.360627462 -0.956898533 11
-0.120021121 -0.648996454 12
-1.366211256  0.348462345 13
 1.006447045 -1.430650673 14
 0.121742915 -0.655427989 15
-0.028027237 -0.215143458 16
 0.888394754 -0.343058631 17
-0.130630577 -0.026850144 18
 0.151722386  1.792299745 19
-1.236489652 -0.846131674 20
 0.133319205  0.801684141  1
 1.627051680  0.435464334  2
-0.182690323 -0.383277798  3
 1.009357462 -0.183524063  4
-0.261981020  0.039526933  5
-1.154064552  1.495144833  6
 0.769179277 -0.141383710  7
 0.370368699  0.045873245  8
 1.196489064  2.281591366  9
 0.663593627 -0.533359582 10
-0.456708894  1.324420829 11
-1.278125046 -0.829951688 12
-1.085307206 -0.387429108 13
 0.247137108 -0.426804051 14
 0.066262046  0.704758643 15
-0.164987553 -0.162658775 16
-0.333190660  0.538509738 17
 0.781094162 -1.493262000 18
 0.363034405  0.109286780 19
 0.214297728  0.181873988 20
-1.608266096  0.311236357  1
-0.450772940  1.225453829  2
 0.472479819 -2.601449444  3
 0.394923382  0.319142216  4
-0.929270790  0.647341768  5
-1.868603315 -1.241281242  6
 1.057081602  0.661526456  7
 1.146949986  0.588575261  8
-1.190400141 -1.951676577  9
-1.049909883  0.628103504 10
 2.210086828  0.133991576 11
-0.694956953  0.777785636 12
 0.193077486  1.960938557 13
-0.518384179 -0.373543538 14
 0.502089580 -0.057910356 15
 0.037888081 -0.069463170 16
 0.760267302 -0.340560155 17
-0.167330995  0.918654854 18
-0.498924591  0.595412135 19
-1.199293099  0.574975822 20
-0.520364639 -0.326857144  1
 0.926125935 -0.222857807  2
-0.677431896  0.829330505  3
 0.080980987 -0.322081195  4
-0.574692996  0.434535664  5
-0.774032959  0.781117813  6
 0.038830212  0.351703348  7
 0.534231304  0.034742463  8
-0.020340863  0.652658004  9
-0.316835916 -0.503889655 10
 0.715039944  1.021629770 11
-0.489017689  0.523277783 12
-0.169202818 -1.597345258 13
-0.027346910 -0.765888961 14
-1.090649800  0.940553452 15
 0.938181988  0.738151672 16
-0.767491459 -0.296141732 17
-0.834253720 -0.100361112 18
 1.584681321  1.178514548 19
 0.258051824 -0.018048970 20
 0.243861922  2.676508603  1
 0.237387491  1.878612426  2
-1.313936323 -0.022675832  3
-1.021605893  0.288582000  4
-1.416254135  0.015822958  5
 1.131186613 -0.602719501  6
-0.599600526  0.763609641  7
 0.283999346 -1.042276781  8
 0.896949737 -0.079702094  9
 0.713212867 -0.988725769 10
 0.593656369  1.566857541 11
-1.822157209 -1.465776154 12
-0.168662963  0.170440184 13
-0.142564437 -0.307674295 14
-0.890050807 -0.245985328 15
 0.457351018  1.396995470 16
-0.002052914  0.479334378 17
-0.733028256 -1.542872181 18
 1.168756486  0.746544817 19
-0.092509458  1.068819108 20
-1.290975647 -0.672229249  1
 0.507197883 -1.220302985  2
 0.225538719 -2.644271921  3
-0.333130391 -0.020205147  4
-0.933629834  1.031705205  5
 0.193912918 -0.764772817  6
-0.574746634 -0.766744533  7
-0.905356163 -1.170552439  8
 0.009587184 -1.349938186  9
 1.629524583 -0.526379260 10
 0.833801999  1.675524108 11
 0.059784003  1.397362341 12
-0.632848123 -0.574697527 13
 0.113822516  0.028462831 14
 2.309150987  0.417510173 15
-0.769986908  1.492115026 16
 0.793444137 -0.553730449 17
 0.356524380 -0.211692039 18
 0.824379805  0.296137572 19
 0.580275314 -0.352910429 20
-1.738670660 -0.418333746  1
-1.583913274 -1.208840044  2
-0.118244021  0.748956140  3
-0.382534088  0.078909780  4
 1.396140631  0.972626494  5
-0.325542431 -1.142440441  6
-0.473930158 -0.176456243  7
-2.507917086  0.439112611  8
-0.762786567  0.234378093  9
 0.136177904  0.281341084 10
-0.198201330  0.372583331 11
-0.619794680  0.999735734 12
-0.191284030 -0.574193000 13
-0.462109673  0.236906835 14
-0.116088450 -0.240389842 15
 0.099989691 -2.389278802 16
 1.762648140  2.613465740 17
-0.651435419 -0.064685864 18
 0.169849707  0.352471660 19
 1.161459010 -0.264055038 20
 0.833753622 -1.070442732  1
 1.184254615  0.112829226  2
 1.733891217 -0.855316467  3
-0.879214002 -0.416167741  4
-1.204883780 -0.918993341  5
-0.516747628 -1.379885063  6
 1.602560190 -0.361763399  7
-0.782033765 -0.316636002  8
-0.553128673 -1.249880915  9
-0.547876054  0.187065762 10
-0.996560783  0.018876994 11
 0.530061590 -0.203257394 12
-0.817925875 -0.281063310 13
 0.310973208 -1.365222859 14
-1.712357531 -2.082957827 15
 0.472979026  1.092388959 16
-0.124365772 -0.153709706 17
 2.057743916  0.642032808 18
-0.201745331 -0.164291992 19
 1.301162939  0.551993033 20
-0.210564048  1.663420846  1
-0.313279232 -0.026982242  2
-0.788603111  0.299526190  3
-0.072917177 -0.154228008  4
 0.881831059 -0.092996799  5
-1.185386712  0.683679572  6
 0.679818363  0.331270614  7
-0.573796998 -1.240757228  8
-0.824047942 -0.415653693  9
-0.345899793 -1.482061766 10
 2.116534030  1.132128413 11
-1.492354513  1.070181008 12
-0.823793565 -0.937927065 13
-1.483876849 -0.348836307 14
 2.042250675 -1.158871062 15
-1.143318359 -0.018642878 16
-1.039844107 -0.912572901 17
-0.811309510  1.611364164 18
-0.765507762  1.173813616 19
 1.869407678 -1.826233595 20
 0.149747287  0.677618842  1
 0.741753847 -0.276701531  2
 2.323774431  0.849455008  3
-2.726602679 -0.584853817  4
 1.144330032  1.537626503  5
-0.203052370  1.977535828  6
 1.776866885 -1.253285553  7
 0.077355734  0.157571517  8
-0.675094680 -0.790466732  9
 0.562774062  0.311375156 10
 0.196106730  1.117045541 11
-0.409686535  1.757007107 12
-1.273556597 -2.056133927 13
 1.331222890  0.850246599 14
 0.964424647 -0.331452417 15
 0.844351258  0.346717725 16
-0.047511006  0.401992084 17
-1.563024296 -1.520864223 18
-0.832042565 -0.841746071 19
-1.482192087  0.782438414 20
 0.817994164 -1.543596663  1
 0.041191232  0.984800594  2
-0.132124339 -0.714664538  3
-0.413409777 -0.268709415  4
 0.123500798 -1.133367599  5
 2.298270225 -0.422804040  6
 0.764967087  0.354333582  7
 1.106742124 -0.333812401  8
 0.114710460 -1.013327897  9
-2.430397242  0.379149366 10
 1.117229480 -0.490306879 11
 0.612859576  0.232356392 12
-1.628321097 -1.644987086 13
-0.507949661 -0.076128308 14
-0.360820370  1.010545128 15
-0.606068108  1.355580552 16
 1.827285406 -1.958375902 17
-0.597064847  0.142082687 18
 0.326964149 -0.381370482 19
 0.443877261 -0.065937151 20
 1.738621891  0.510735717  1
 0.639632600  1.103004511  2
-0.943793211  0.427426553  3
-0.331142391  0.306192673  4
-1.490280908  0.551269400  5
-1.017226484 -0.374565034  6
 1.285192662 -0.321556519  7
-2.118800596 -0.651018225  8
 0.789350170  1.772664016  9
-0.850506333 -0.128169827 10
-0.205620851 -0.314815748 11
 0.053305982 -0.529620164 12
-0.294611927 -0.955080716 13
 0.584550008 -2.324496678 14
-0.283518322  0.739131756 15
 0.243533269 -0.616257001 16
-1.128438408  2.151998713 17
-0.414962740  1.348832016 18
-0.037598216 -0.834548289 19
 0.883313617 -0.219492162 20
 0.395018542 -1.997162111  1
-0.080763980  1.000885695  2
 0.971550551  0.901388387  3
 0.646785518 -0.955439250  4
-0.485767743 -0.776282225  5
 0.493588348 -0.441976407  6
-0.666499796 -0.020760411  7
 0.558460077  1.218390496  8
-1.051473750  0.164205094  9
 0.721035088  1.108469608 10
 0.917012696  0.932329552 11
 1.091774512 -1.150886227 12
 0.123396605 -0.599472242 13
 0.880903252  0.544162010 14
 1.039285531  0.182193215 15
-0.077863796 -0.094326383 16
 0.003964412  0.781467043 17
 0.697127668  0.181580283 18
-1.007985671  0.516936025 19
 1.904392216  0.894085183 20
 0.779018476  0.114125743  1
-0.345321601 -1.872104451  2
 2.121702151  0.344950239  3
 0.187192440  2.646834367  4
 0.122316309 -1.130434539  5
 0.844683410  1.125745323  6
 0.951008091 -0.243800065  7
-0.656148267 -0.590054423  8
-1.295732742  0.090039836  9
-1.375989134  0.088335285 10
-1.417839010 -0.112907977 11
-1.882848921  0.952405291 12
 1.071476627 -0.473638153 13
-1.233852635 -0.170235088 14
-1.670469218 -0.512464056 15
 1.232373474 -0.900966716 16
 0.428483701 -0.862747380 17
 0.028875956 -0.184003873 18
-0.414785265 -0.041735131 19
-0.949976419 -0.634379428 20
 0.863962660 -0.757595546  1
-2.075280677  0.980844401  2
 1.124889718 -1.087668421  3
 0.020938406 -2.044934917  4
-0.637228613  1.575885040  5
-1.965387701  0.349728237  6
-1.100072951 -0.003613888  7
-1.154205350  0.290820561  8
-1.800564195 -1.063867958  9
-0.500867097  0.518302000 10
 0.800154279 -1.484878664 11
-1.094837118 -1.287033162 12
 0.250347776 -1.240562412 13
-0.679849345  2.379298970 14
-0.743925306  0.505323186 15
-1.217591836  0.641853822 16
 0.153779167  1.305518764 17
-0.282954135 -0.182534600 18
 0.074652922  1.160998361 19
 0.785775909  0.091038016 20
-2.349609144  2.370994881  1
-1.156274710  0.423897921  2
-0.198818311 -1.035356490  3
-0.264002522 -0.401867352  4
 1.616556410  0.023031160  5
-1.669699196 -0.629155568  6
 1.132407814 -1.441004484  7
-0.482380909  1.184411165  8
-1.998077923 -0.709086537  9
 0.065400732 -0.491992130 10
 1.312857238 -0.992952158 11
 0.173476788  0.669042523 12
-0.586404043  0.134075340 13
-0.439720448  0.628764478 14
-0.187583727 -1.363117248 15
 1.066104475  2.700738571 16
 0.189550230 -0.951462630 17
-0.613572989 -1.974786994 18
-0.422206296  1.704363361 19
-0.703557145 -0.363808693 20
-0.506118119  0.792661715  1
-0.735322432  1.307952162  2
-1.010280200 -1.542610376  3
 1.301445545  1.449719917  4
 0.704113202  0.684811033  5
 2.682595558 -1.479234030  6
-1.515231809  0.107524903  7
 0.045526551  0.730452259  8
 0.159139042  0.304694299  9
-0.035926646  0.553342805 10
 0.685961176 -0.268836347 11
 1.172169154 -1.061695966 12
 1.015719256 -1.522222520 13
 0.803755506 -2.242479897 14
-0.469103071 -0.390593033 15
 0.055133487  0.281026904 16
 1.180388358 -1.279369756 17
-0.579818865 -1.316836608 18
 0.781960783 -0.629641592 19
-1.366915538  0.343997127 20
 2.121037313 -0.037767019  1
-1.229680791 -1.377057509  2
 0.666183008 -1.613974437  3
-0.596898949  0.310657865  4
-0.115446700 -0.302221954  5
 1.012123290  1.262865976  6
 0.682577200 -1.159124088  7
 0.693224354 -0.426186181  8
 1.094232368 -1.375518371  9
-0.780902227 -0.008794899 10
 0.041110845 -0.761293670 11
 1.425627260 -0.454676973 12
 2.159722554  1.604383928 13
-1.177377263  0.384130726 14
 0.397195154 -0.649446286 15
-0.671394900 -2.488558292 16
 0.195196365  0.030858148 17
-2.373688275  0.175483943 18
 0.555422734  0.882074999 19
 1.433802275 -0.183573050 20
-0.153754545 -2.681580908  1
-0.302272003 -1.403240197  2
 0.488540380 -1.006323648  3
 0.515237432 -1.463007753  4
-0.648706904 -0.112910695  5
 0.065767163 -0.949043563  6
 0.734523802  0.609646213  7
 2.627253338  0.602817736  8
 1.361442671 -0.560875144  9
-0.648052201  0.094432075 10
 0.524977003  0.638083872 11
 2.063783256 -0.928188083 12
-0.995051103 -1.278517130 13
-0.382611759  1.807356561 14
-1.479892916  0.445309764 15
-2.085675319 -0.823189715 16
-0.957636627  0.244471836 17
-1.467327860  1.537464571 18
-0.153214533  0.859483177 19
-1.338519734  0.220879236 20
-0.939613464  0.674393474  1
-1.167114105 -0.370970120  2
 0.498560300  0.080288944  3
 0.581589936 -0.842071891  4
 0.857088262 -0.257178583  5
 1.104071085 -1.732441618  6
 0.374227505 -0.409125958  7
-0.575876722 -0.525374640  8
-1.185330952  0.192586229  9
-0.393248292 -2.294212065 10
-1.417416094  0.668454853 11
 0.900847100  0.542623418 12
 1.466190928 -0.108551987 13
-0.109233541  0.430404916 14
 0.354528148 -2.478679127 15
 0.117585709  0.756539541 16
-0.374266154 -0.420661154 17
 0.044709328  0.185669915 18
 0.299852095  0.741604030 19
-0.515713237 -1.689042177 20
 1.836316083 -0.904425176  1
 1.550339918 -0.833328557  2
-0.740463328 -1.386947914  3
-1.042022052  2.482487447  4
 0.798531262 -1.739556288  5
-0.313637777  0.362582121  6
-0.597966602  1.370758818  7
 0.535779239 -0.737801960  8
 0.891453796 -0.249274878  9
 0.394619579 -0.151996478 10
-1.078282210  0.167289617 11
 0.796664944  0.385842301 12
-0.613112203  1.029713480 13
-0.681465841  0.584459486 14
-0.836069493 -1.037087003 15
-1.451451928  0.445413566 16
-2.110861488  0.883212619 17
-0.876760489  0.902207066 18
-0.194921561 -1.301296512 19
-0.420311995 -0.462319419 20
 0.522918265  0.028130217  1
-0.199363074 -0.167155871  2
 1.014127290 -0.833652270  3
-0.764164173  0.630204295  4
 0.468253471  0.603122255  5
 0.357725321 -1.244503106  6
-1.361032631  0.320326538  7
 0.692938044 -0.181937294  8
 0.050536873 -0.022799191  9
 0.644340057  0.869331243 10
 1.754444977  0.307020798 11
 0.381367906  1.125405308 12
-2.034392809  0.257333749 13
 0.482506719  0.655456758 14
-0.973619200  2.629244177 15
-0.621322426 -0.849114324 16
-0.558811399  0.858304269 17
 0.317825182  0.801472531 18
 2.149500811  1.466237630 19
-0.374613273 -0.726353880 20
-1.646218531 -0.730637882  1
-0.478297681 -0.137320162  2
-1.087163486  0.763682281  3
 0.391339430  0.800055109  4
 0.365405935  1.168552663  5
 0.997439517  0.031128886  6
 0.680973092 -0.915021793  7
-1.102482957  0.118369212  8
-1.969844222 -1.439225800  9
 0.113278401  0.271840503 10
 0.807224813  0.159816404 11
 2.135668271  1.781820286 12
-0.154093676 -0.802211903 13
-0.208984245  0.786193026 14
 0.812450550 -0.970638581 15
-0.116907857  0.474720408 16
 0.567947658  1.053822584 17
 0.939461893 -0.702235794 18
-0.024716449  0.913320707 19
 0.543366075 -1.499869954 20
 0.634681725 -1.676105926  1
